n,case,strategy,smoother,transfer,coarsening,converged,iterations,relative_residual,asymptotic_contraction,elapsed_seconds,setup_seconds,solve_seconds,work_units,safety_work_units,nn_calls,transfer_nn_calls,smoother_nn_calls,detector_nn_calls,selector_nn_calls,nn_seconds,matvec_count,true_residual_points,mean_gate,fallback_count,selected_strategy,hierarchy_rebuilds,active_patch_fraction,active_cell_fraction,alpha_count,alpha_mean,alpha_median,alpha_p10,alpha_p90,alpha_zero_fraction,alpha_active_fraction,relative_solution_error
31,poisson,jacobi_bilinear_full,jacobi,bilinear,full,False,12,1.7250706051646474e-07,0.4042007492739714,0.04193284700068034,0.03057052200074395,0.01136232499993639,86.0100405896176,0.0,0,0,0,0,0,0.0,121,13,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,1.6634046352477746e-09
31,poisson,line_x_bilinear_full,line_x,bilinear,full,False,12,2.6258994182682417e-09,0.2057746828426958,0.11031003499920189,0.007109261999175942,0.10320077300002595,133.46143986327706,0.0,0,0,0,0,0,0.0,121,13,0.0,0,line_x_bilinear_full,0,0.0,0.0,0,,,,,,0.0,2.0822053307825537e-10
31,poisson,line_y_bilinear_full,line_y,bilinear,full,False,12,2.62589870413201e-09,0.20577467166034719,0.09679942599905189,0.012532985999314405,0.08426643999973749,133.46143986327706,0.0,0,0,0,0,0,0.0,121,13,0.0,0,line_y_bilinear_full,0,0.0,0.0,0,,,,,,0.0,2.0822012154350506e-10
31,poisson,line_alt_bilinear_full,line_alt,bilinear,full,False,12,2.1163656181741804e-12,0.10279762513485437,0.17597221399955743,0.008220787999562162,0.16775142599999526,187.24481948301644,0.0,0,0,0,0,0,0.0,121,13,0.0,0,line_alt_bilinear_full,0,0.0,0.0,0,,,,,,0.0,1.381979985770435e-12
31,poisson,jacobi_operator_full,jacobi,operator,full,False,12,4.93964259487788e-07,0.37969829079802053,0.037851435000447964,0.02649775200006843,0.011353683000379533,131.09271523178808,0.0,0,0,0,0,0,0.0,121,13,0.0,0,jacobi_operator_full,0,0.0,0.0,0,,,,,,0.0,5.129227633272892e-09
31,poisson,line_alt_operator_full,line_alt,operator,full,False,12,1.2593562902471498e-11,0.13130497382407233,0.19253447399933066,0.022222514999157283,0.17031195900017337,277.8972441785943,0.0,0,0,0,0,0,0.0,121,13,0.0,0,line_alt_operator_full,0,0.0,0.0,0,,,,,,0.0,1.5723509889317133e-12
31,poisson,line_x_operator_semi_y,line_x,operator,semi_y,False,12,1.2415230317303172e-08,0.21024808279070029,0.19461822099947312,0.07440271199993731,0.12021550899953581,541.2332834864345,0.0,0,0,0,0,0,0.0,229,13,0.0,0,line_x_operator_semi_y,0,0.0,0.0,0,,,,,,0.0,4.185001216733118e-09
31,poisson,line_y_operator_semi_x,line_y,operator,semi_x,False,12,1.2415372217645344e-08,0.21024826788017573,0.21195490799982508,0.06843480699990323,0.14352010099992185,531.220038453322,0.0,0,0,0,0,0,0.0,229,13,0.0,0,line_y_operator_semi_x,0,0.0,0.0,0,,,,,,0.0,4.185066745827832e-09
31,poisson,line_alt_operator_alternating,line_alt,operator,alternating,False,12,1.8522607363877725e-12,0.11969423777633463,0.36040189300092607,0.05815955100024439,0.3022423420006817,844.2095706045717,0.0,0,0,0,0,0,0.0,229,13,0.0,0,line_alt_operator_alternating,0,0.0,0.0,0,,,,,,0.0,1.1937378174000787e-13
31,aligned_anisotropy,jacobi_bilinear_full,jacobi,bilinear,full,False,12,0.009661514964744392,0.9253752063949338,0.017027267000230495,0.006865704999654554,0.010161562000575941,86.0100405896176,0.0,0,0,0,0,0,0.0,121,13,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.008525218958724124
