n,case,pareto_rank,strategy,smoother,transfer,coarsening,converged,iterations,relative_residual,asymptotic_contraction,elapsed_seconds,setup_seconds,solve_seconds,work_units,safety_work_units,nn_calls,transfer_nn_calls,smoother_nn_calls,detector_nn_calls,selector_nn_calls,nn_seconds,matvec_count,true_residual_points,mean_gate,fallback_count,selected_strategy,hierarchy_rebuilds,active_patch_fraction,active_cell_fraction,alpha_count,alpha_mean,alpha_median,alpha_p10,alpha_p90,alpha_zero_fraction,alpha_active_fraction,relative_solution_error
31,poisson,1,jacobi_bilinear_full,jacobi,bilinear,full,False,12,1.7250706051646476e-07,0.4042007492739714,0.0419328470006803,0.0305705220007439,0.0113623249999363,86.0100405896176,0.0,0,0,0,0,0,0.0,121,13,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,1.6634046352477744e-09
31,poisson,2,line_y_bilinear_full,line_y,bilinear,full,False,12,2.62589870413201e-09,0.2057746716603471,0.0967994259990518,0.0125329859993144,0.0842664399997374,133.46143986327706,0.0,0,0,0,0,0,0.0,121,13,0.0,0,line_y_bilinear_full,0,0.0,0.0,0,,,,,,0.0,2.0822012154350504e-10
31,poisson,3,line_alt_bilinear_full,line_alt,bilinear,full,False,12,2.1163656181741804e-12,0.1027976251348543,0.1759722139995574,0.0082207879995621,0.1677514259999952,187.24481948301644,0.0,0,0,0,0,0,0.0,121,13,0.0,0,line_alt_bilinear_full,0,0.0,0.0,0,,,,,,0.0,1.381979985770435e-12
31,poisson,4,line_alt_operator_alternating,line_alt,operator,alternating,False,12,1.8522607363877725e-12,0.1196942377763346,0.360401893000926,0.0581595510002443,0.3022423420006817,844.2095706045717,0.0,0,0,0,0,0,0.0,229,13,0.0,0,line_alt_operator_alternating,0,0.0,0.0,0,,,,,,0.0,1.193737817400079e-13
31,aligned_anisotropy,1,jacobi_bilinear_full,jacobi,bilinear,full,False,12,0.0096615149647443,0.9253752063949338,0.0170272670002304,0.0068657049996545,0.0101615620005759,86.0100405896176,0.0,0,0,0,0,0,0.0,121,13,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.0085252189587241
31,aligned_anisotropy,2,line_x_bilinear_full,line_x,bilinear,full,False,12,9.574275099205755e-15,0.0125058818857191,0.0878806499995334,0.0066119799994339,0.0812686700000995,133.46143986327706,0.0,0,0,0,0,0,0.0,121,13,0.0,0,line_x_bilinear_full,0,0.0,0.0,0,,,,,,0.0,9.264949418075806e-16
31,rotated_anisotropy,1,jacobi_bilinear_full,jacobi,bilinear,full,False,12,0.0005658097481035,0.7893709274345428,0.0167664130003686,0.0070331249999071,0.0097332880004614,75.7310600216016,0.0,0,0,0,0,0,0.0,121,13,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.0005285989612105
31,local_patch,1,jacobi_bilinear_full,jacobi,bilinear,full,False,12,0.0025528453439648,0.902038573084512,0.0154636069992193,0.0063391999992745,0.0091244069999447,83.17715525744723,0.0,0,0,0,0,0,0.0,121,13,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.0528024503202563
31,local_patch,2,line_y_bilinear_full,line_y,bilinear,full,False,12,0.0022142988261126,0.8601381885734916,0.0975829179997163,0.0081893959995795,0.0893935220001367,128.83349773130794,0.0,0,0,0,0,0,0.0,121,13,0.0,0,line_y_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.0496154979789672
31,local_patch,3,jacobi_operator_full,jacobi,operator,full,False,12,0.0020764398801705,0.9171703329882586,0.0340617040001234,0.0231892769998012,0.0108724270003222,142.8812389031367,0.0,0,0,0,0,0,0.0,121,13,0.0,0,jacobi_operator_full,0,0.0,0.0,0,,,,,,0.0,0.0104615320773003
31,local_patch,4,line_alt_bilinear_full,line_alt,bilinear,full,False,12,0.0012767410966941,0.9038874197873522,0.1763606099993921,0.0072364449997621,0.16912416499963,180.33714736634445,0.0,0,0,0,0,0,0.0,121,13,0.0,0,line_alt_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.0374088212243694
31,local_patch,5,line_alt_operator_full,line_alt,operator,full,False,12,0.000998300683671,0.9286565159763336,0.1911311839994596,0.0230375319997619,0.1680936519996976,305.47425527717496,0.0,0,0,0,0,0,0.0,121,13,0.0,0,line_alt_operator_full,0,0.0,0.0,0,,,,,,0.0,0.0037964295568992
31,local_patch,6,line_alt_operator_alternating,line_alt,operator,alternating,False,12,0.0003167483958456,0.8558086353993503,0.3353667820001647,0.0504687590000685,0.2848980230000961,832.2598145590846,0.0,0,0,0,0,0,0.0,229,13,0.0,0,line_alt_operator_alternating,0,0.0,0.0,0,,,,,,0.0,0.0009029468710054
31,checkerboard,1,jacobi_bilinear_full,jacobi,bilinear,full,False,12,0.0115408448878971,0.7068063757546725,0.0179563699994105,0.0071755109993318,0.0107808590000786,80.04174879053933,0.0,0,0,0,0,0,0.0,121,13,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.0666304543757726
