check,case,n,pattern,strategy,finite,relative_residual,rank_ok,coarse_min_eigenvalue,guaranteed,classical_relative_residual,safe_relative_residual,fallback_count
classical_strategy,0,15,channel,jacobi_bilinear_full,True,0.07034166597307308,,,,,,
classical_strategy,0,15,channel,line_x_bilinear_full,True,0.07570028536118471,,,,,,
classical_strategy,0,15,channel,line_y_bilinear_full,True,0.08405279270166388,,,,,,
classical_strategy,0,15,channel,line_alt_bilinear_full,True,0.04991734625712813,,,,,,
classical_strategy,0,15,channel,jacobi_operator_full,True,0.30155557294404145,,,,,,
classical_strategy,0,15,channel,line_alt_operator_full,True,0.07565171241779572,,,,,,
classical_strategy,0,15,channel,line_x_operator_semi_y,True,0.08123193023044786,,,,,,
classical_strategy,0,15,channel,line_y_operator_semi_x,True,0.050570458151713876,,,,,,
classical_strategy,0,15,channel,line_alt_operator_alternating,True,0.007137979854018174,,,,,,
extreme_transfer,0,15,channel,full,True,,True,1.8808922820598613,,,,
extreme_transfer,0,15,channel,semi_x,True,,True,0.7883334556217516,,,,
extreme_transfer,0,15,channel,semi_y,True,,True,0.7823302697336539,,,,
extreme_transfer,0,15,channel,alternating,True,,True,0.6338541606708231,,,,
safe_fallback,0,15,channel,nn_smoother,True,,,,True,0.07034166597307308,0.06913909633562487,1.0
safe_fallback,0,15,channel,learned_transfer,True,,,,True,0.07034166597307308,0.07034166597307308,2.0
safe_fallback,0,15,channel,combined,True,,,,True,0.07034166597307308,0.07034166597307308,2.0
safe_fallback,0,15,channel,adaptive,True,,,,True,0.07034166597307308,0.07034166597307308,2.0
classical_strategy,1,7,uniform,jacobi_bilinear_full,True,0.13927685708732798,,,,,,
classical_strategy,1,7,uniform,line_x_bilinear_full,True,0.0528793496657874,,,,,,
classical_strategy,1,7,uniform,line_y_bilinear_full,True,0.04483324952413057,,,,,,
classical_strategy,1,7,uniform,line_alt_bilinear_full,True,0.02046534672293347,,,,,,
classical_strategy,1,7,uniform,jacobi_operator_full,True,0.06751409252357175,,,,,,
classical_strategy,1,7,uniform,line_alt_operator_full,True,0.022227288690445216,,,,,,
classical_strategy,1,7,uniform,line_x_operator_semi_y,True,0.05650435363842861,,,,,,
classical_strategy,1,7,uniform,line_y_operator_semi_x,True,0.04128214757811068,,,,,,
classical_strategy,1,7,uniform,line_alt_operator_alternating,True,0.02052650201537881,,,,,,
extreme_transfer,1,7,uniform,full,True,,True,0.5498947882375422,,,,
extreme_transfer,1,7,uniform,semi_x,True,,True,0.29715719131928,,,,
extreme_transfer,1,7,uniform,semi_y,True,,True,0.27888625242046866,,,,
extreme_transfer,1,7,uniform,alternating,True,,True,0.27816724101202905,,,,
safe_fallback,1,7,uniform,nn_smoother,True,,,,True,0.13927685708732798,0.09227139226787089,0.0
safe_fallback,1,7,uniform,learned_transfer,True,,,,True,0.13927685708732798,0.13209868855119522,0.0
safe_fallback,1,7,uniform,combined,True,,,,True,0.13927685708732798,0.08373731980652811,0.0
safe_fallback,1,7,uniform,adaptive,True,,,,True,0.13927685708732798,0.07103795141201628,0.0
classical_strategy,2,7,uniform,jacobi_bilinear_full,True,0.3154345058964321,,,,,,
classical_strategy,2,7,uniform,line_x_bilinear_full,True,0.032097239948912296,,,,,,
classical_strategy,2,7,uniform,line_y_bilinear_full,True,0.03215993199289492,,,,,,
classical_strategy,2,7,uniform,line_alt_bilinear_full,True,0.010601598879673461,,,,,,
classical_strategy,2,7,uniform,jacobi_operator_full,True,0.2736427082221719,,,,,,
classical_strategy,2,7,uniform,line_alt_operator_full,True,0.014745444807538196,,,,,,
classical_strategy,2,7,uniform,line_x_operator_semi_y,True,0.03559685060592259,,,,,,
classical_strategy,2,7,uniform,line_y_operator_semi_x,True,0.017877299913572505,,,,,,
classical_strategy,2,7,uniform,line_alt_operator_alternating,True,0.007379781533845759,,,,,,
extreme_transfer,2,7,uniform,full,True,,True,0.5648546845267678,,,,
extreme_transfer,2,7,uniform,semi_x,True,,True,0.31928520043328207,,,,
extreme_transfer,2,7,uniform,semi_y,True,,True,0.3191905487574583,,,,
extreme_transfer,2,7,uniform,alternating,True,,True,0.3159520152258081,,,,
safe_fallback,2,7,uniform,nn_smoother,True,,,,True,0.3154345058964321,0.1671721098081555,0.0
safe_fallback,2,7,uniform,learned_transfer,True,,,,True,0.3154345058964321,0.30303111236902813,0.0
safe_fallback,2,7,uniform,combined,True,,,,True,0.3154345058964321,0.16058520985378993,0.0
